x,y,TYPE,NAICS,ESS_CLASS,WORKER,SERIAL,N,WID2
-87.4872225,30.313899,w,238990,Essential*,1,832135,1,198
-87.4872225,30.313899,w,561990,Essential*,2,590334,1,199
-87.487191,30.774483,w,561499,Essential*,1,624328,1,200
-87.4870515,30.871899,w,561730,Essential*,1,768421,1,201
-87.4867905,30.908655,w,335999,Essential,1,794139,1,202
-87.4867905,30.908655,w,531190,Essential,1,541967,1,203
-87.486723,30.912336,w,488390,Essential,1,647899,1,204
-87.4865717307784,30.2876825469606,w,236117,Essential,1,632034,1,205
-87.4865717307784,30.2876825469606,w,531110,Essential,3,948421,1,206
-87.4865717307784,30.2876825469606,w,531210,Essential,3,609386,1,207
-87.486561,30.966786,w,448120,Nonessential,1,844983,1,208
-87.4864947085975,30.2876990971813,w,561499,Essential*,1,527174,1,209
-87.4864035,30.315654,w,561499,Essential*,1,655915,1,210
-87.4864035,30.315654,w,561990,Essential*,1,788173,1,211
-87.486003,30.318813,w,561990,Essential*,1,588455,1,212
-87.4859918709936,30.8882531244974,w,999999,"",1,896933,1,213
-87.4858635,30.287313,w,531110,Essential,3,518132,1,214
-87.4858635,30.287313,w,561499,Essential*,3,548245,1,215
-87.4858635,30.287313,w,713940,Nonessential,1,503308,1,216
-87.4858635,30.287313,w,812112,Nonessential,1,534468,1,217
-87.4858635,30.287313,w,812112,Nonessential,3,536129,1,218
-87.485724,30.316518,w,238110,Essential*,1,565561,1,219
-87.48549,30.847005,w,561499,Essential*,1,723947,1,220
-87.485193,30.966165,w,624120,Essential,1,594991,1,221
-87.4849905,30.888918,w,811412,Essential,1,770000,1,222
-87.484824,30.989529,w,112990,Essential,1,900800,1,223
-87.4848105,30.927384,w,453310,Nonessential,1,913131,1,224
-87.4847025,30.973842,w,999999,"",1,787672,1,225
-87.4845135,30.901815,w,238210,Essential*,1,810232,1,226
-87.484311,30.31821,w,532490,Essential,1,909931,1,227
-87.484023,30.908826,w,561990,Essential*,1,950793,1,228
-87.483312,30.316707,w,561499,Essential*,1,703495,1,229
-87.4827,30.315897,w,561990,Essential*,1,924959,1,230
-87.4824886442883,30.9254448877783,w,811490,Essential,1,803749,1,231
-87.4822244605497,30.7739825887809,w,238130,Essential*,1,832388,1,232
-87.4821735,30.317706,w,713990,Nonessential,1,931594,1,233
-87.482151,30.317076,w,531210,Essential,1,749854,1,234
-87.482151,30.317076,w,531311,Essential,1,901724,1,235
-87.482151,30.317076,w,813990,Essential*,1,732316,1,236
-87.482151,30.920652,w,111998,Essential,1,870908,1,237
-87.4818,30.907764,w,561990,Essential*,1,945160,1,238
-87.4812992956986,30.9032201343427,w,453220,Nonessential,1,893815,1,239
-87.48126,30.907566,w,561990,Essential*,1,878242,1,240
-87.4809462268418,30.9021000535981,w,624110,Essential,1,719509,1,241
-87.4809462268418,30.9021000535981,w,922120,Essential,1,565978,1,242
-87.4809315,30.311082,w,493110,Essential,1,952856,1,243
-87.4809315,30.311082,w,561990,Essential*,1,669092,1,244
-87.4807425,30.316176,w,517312,"",1,721205,1,245
-87.480504,30.317247,w,561990,Essential*,1,917689,1,246
-87.4803825,30.904677,w,541618,Essential*,1,483321,1,247
-87.480063,30.316518,w,541618,Essential*,1,809482,1,248
-87.480063,30.316518,w,722511,Essential*,1,806156,1,249
-87.4799999420873,30.9008354554911,w,485410,Nonessential,1,668188,1,250
-87.4799999420873,30.9008354554911,w,923110,Essential,1,831009,1,251
-87.4796625,30.31713,w,541350,Essential*,1,521078,1,252
-87.47946,30.919464,w,813110,Essential*,1,726273,1,253
-87.4784925,30.899763,w,922160,Essential,1,626722,1,254
-87.4779615,30.893157,w,446120,Nonessential,1,934118,1,255
-87.4779317563149,30.826897340878,w,111150,Essential,1,829830,1,256
-87.477714,30.893805,w,561990,Essential*,1,507626,1,257
-87.4770435,30.895542,w,532120,Essential*,1,887010,1,258
-87.476814,30.89943,w,236220,Essential,1,504674,1,259
-87.4767105,30.31542,w,541990,Essential*,1,500024,1,260
-87.476643,30.315339,w,339114,Essential,1,711030,1,261
-87.4764741806937,30.8982960916138,s,999999,"",10,84,1,262
-87.476274,30.788919,w,238120,Essential*,1,898255,1,263
-87.475752,30.901995,w,624110,Essential,1,586014,1,264
-87.475752,30.901995,w,999999,"",1,644397,1,265
-87.47568,30.314295,w,561499,Essential*,1,724565,1,266
-87.475671,30.923559,w,813110,Essential*,1,748672,1,267
