WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
8379,w,-82.525383,29.584107,5,164577,484110,Essential
8380,w,-82.34271,29.639799,2,164604,621111,Essential
8381,w,-82.4098428867325,29.6594841390843,1,164669,448310,Nonessential
8382,w,-82.273743,29.642004,2,164689,561990,Essential*
8383,w,-82.475712,29.66148,1,164700,561990,Essential*
8384,w,-82.33569,29.651778,2,164703,811212,Essential
8385,w,-82.3254615,29.657826,4,164797,441120,Nonessential
8386,w,-82.473714,29.546739,1,164799,423110,Nonessential
8387,w,-82.3564418300237,29.687912917338,1,164824,454390,Nonessential
8388,w,-82.4061105,29.657763,1,164835,621399,Essential
8389,w,-82.3919008623677,29.703192036981,4,164879,621111,Essential
8390,w,-82.170522,29.788875,1,164884,444190,Essential
8391,w,-82.338822,29.681676,10,164892,531210,Essential
8392,w,-82.3739625,29.652354,1,164903,812111,Nonessential
8393,w,-82.383714,29.713158,1,164908,443142,Essential
8394,w,-82.4140980385356,29.6595048581409,1,164917,517312,NA
8395,w,-82.3876605,29.679075,1,164918,524210,Essential
8396,w,-82.4081351999999,29.6452274000001,1,164921,999999,NA
8397,w,-82.3374225,29.660427,2,164923,323120,Essential*
8398,w,-82.438551,29.610333,2,164960,561990,Essential*
8399,w,-82.462572,29.653875,1,164967,621111,Essential
8400,w,-82.3727925,29.624418,139,164991,999999,NA
8401,w,-82.0947538999999,29.700903,1,164993,511199,Nonessential
8402,w,-82.408014,29.559294,1,165001,621111,Essential
8403,w,-82.4516415,29.570715,1,165016,999999,NA
8404,w,-82.4279535,29.636802,1,165036,531312,Essential
8405,w,-82.470483,29.717289,4,165043,541990,Essential*
8406,w,-82.3420714046744,29.6447479783028,1,165053,453998,Nonessential
8407,w,-82.4866605,29.785977,1,165080,424130,Essential
8408,w,-82.404603,29.718207,2,165088,541618,Essential*
8409,w,-82.6059331573283,29.6533458564745,1,165120,999999,NA
8410,w,-82.5192648999999,29.5297850000001,1,165173,111421,Essential*
8411,w,-82.392912,29.702745,7,165232,621399,Essential
8412,w,-82.4344605,29.58597,1,165270,561730,Essential*
8413,w,-82.3069052332058,29.651702372361,3,165271,445110,Essential
8414,w,-82.4327505,29.645505,1,165290,561499,Essential*
8415,w,-82.3135635,29.652192,4,165317,445120,Essential
8416,w,-82.371051,29.714355,1,165355,541990,Essential*
8417,w,-82.449072,29.658447,1,165365,238990,Essential*
8418,w,-82.410183,29.692962,4,165372,561990,Essential*
8419,w,-82.312821,29.675268,1,165380,238320,Essential*
8420,w,-82.4429047262545,29.7756233471466,1,165399,722511,Essential*
8421,w,-82.442403,29.688525,1,165410,445120,Essential
8422,w,-82.384551,29.683575,1,165422,541990,Essential*
8423,w,-82.3953915,29.642139,2,165430,339999,Nonessential
8424,w,-82.376631,29.623383,5,165436,812199,Nonessential
8425,w,-82.6088377156471,29.8349941492562,1,165444,236116,Essential
8426,w,-82.4391,29.857419,1,165498,442110,Nonessential
8427,w,-82.4577003700036,29.6871897754122,1,165530,621610,Essential
8428,w,-82.490643,29.648655,2,165544,541330,Essential
8429,w,-82.5991513324698,29.8280317886299,1,165572,621111,Essential
8430,w,-82.34271,29.639799,7,165601,621111,Essential
8431,w,-82.4421015,29.677032,2,165621,445291,Essential
8432,w,-82.397124,29.658663,5,165653,541110,Essential
8433,w,-82.4939235,29.682333,1,165661,561720,Essential
8434,w,-82.3744125,29.782674,2,165674,924120,Essential
8435,w,-82.338102,29.663172,4,165686,812112,Nonessential
8436,w,-82.354014,29.678868,1,165687,621610,Essential
8437,w,-82.32966,29.647656,1,165704,999999,NA
8438,w,-82.446912,29.656386,1,165711,453110,Nonessential
8439,w,-82.389384,29.684223,1,165742,812990,Nonessential
8440,w,-82.3950225,29.618028,1,165743,999999,NA
8441,w,-82.4662305,29.665107,1,165751,531210,Essential
8442,w,-82.3401405,29.632545,22,165753,531110,Essential
8443,w,-82.351143,29.687724,1,165765,813319,Essential*
8444,w,-82.525122,29.730483,3,165771,511210,Essential
8445,w,-82.347633,29.682873,1,165773,561730,Essential*
8446,w,-82.425042,29.655855,1,165783,621210,Essential
8447,w,-82.5009435,29.794869,2,165829,999999,NA
8448,w,-82.339884,29.623734,2,165841,722511,Essential*
8449,w,-82.3874535,29.687148,1,165844,531320,Essential
8450,w,-82.3423005,29.612835,1,165845,621111,Essential
8451,w,-82.345113,29.634795,19,165885,813910,Essential*
8452,w,-82.38852,29.678454,1,165887,561499,Essential*
8453,w,-82.3377825,29.679939,1,165933,611710,Essential*
8454,w,-82.38762,29.67813,1,165936,621399,Essential
8455,w,-82.38627,29.624274,1,166062,524210,Essential
8456,w,-82.487934,29.808405,1,166147,442210,Nonessential
8457,w,-82.3655025,29.662956,1,166244,561990,Essential*
8458,w,-82.3689225,29.61738,1,166267,531110,Essential
8459,w,-82.3380525,29.494782,1,166305,621999,Essential
8460,w,-82.4435235,29.644632,1,166309,541940,Essential
8461,w,-82.34428,29.6529100000001,6,166327,541110,Essential
8462,w,-82.3248225,29.648052,1,166329,517312,NA
8463,w,-82.520442,29.777643,2,166339,811420,Nonessential
8464,w,-82.4392035,29.605914,1,166391,442110,Nonessential
8465,w,-82.3401,29.65401,15,166437,813410,Nonessential
8466,w,-82.597671,29.655702,1,166449,531110,Essential
8467,w,-82.324143,29.651598,1,166458,921120,Essential
8468,w,-82.398474,29.687787,1,166475,722515,Essential*
8469,w,-82.62243,29.643426,1,166490,238990,Essential*
8470,w,-82.3514251,29.6828204,1,166491,999999,NA
8471,w,-82.3834035,29.634984,15,166513,621340,Essential
8472,w,-82.384011,29.631726,1,166534,424590,Essential
8473,w,-82.403154,29.659914,2,166551,999999,NA
8474,w,-82.47267,29.565162,1,166555,561990,Essential*
8475,w,-82.4801805,29.65878,1,166561,713910,Nonessential
8476,w,-82.3763025,29.659797,1,166592,624410,Essential
8477,w,-82.430091,29.65473,4,166610,561499,Essential*
8478,w,-82.3625505,29.681946,1,166651,561990,Essential*
8479,w,-82.3720635,29.652399,92,166661,445120,Essential
8480,w,-82.411263,29.761254,1,166709,561730,Essential*
8481,w,-82.3234905,29.649942,2,166744,561110,Essential*
8482,w,-82.437363,29.638323,2,166760,541618,Essential*
8483,w,-82.32278,29.6519500000001,9,166777,999999,NA
8484,w,-82.3767525,29.66616,1,166786,561990,Essential*
8485,w,-82.3568715,29.719683,6,166787,424590,Essential
8486,w,-82.4866605,29.785977,1,166791,321918,Essential*
8487,w,-82.325124,29.646324,1,166885,541199,Essential
8488,w,-82.4188635,29.653812,3,166886,813410,Nonessential
8489,w,-82.3772835,29.602107,12,166901,999999,NA
8490,w,-82.3423005,29.612835,2,166922,621399,Essential
8491,w,-82.498662,29.794833,4,166929,999999,NA
8492,w,-82.3324725,29.69082,3,166954,488210,Essential
8493,w,-82.601874,29.842299,1,166979,531110,Essential
8494,w,-82.338984,29.65473,1,166980,999999,NA
8495,w,-82.417581,29.646144,1,166991,531210,Essential
8496,w,-82.34271,29.639799,2,167001,621111,Essential
8497,w,-82.4113071840114,29.6594880656524,3,167003,448140,Nonessential
8498,w,-82.5543135,29.653479,2,167010,999999,NA
8499,w,-82.3423005,29.612835,1,167028,621399,Essential
8500,w,-82.34271,29.639799,1,167030,621111,Essential
8501,w,-82.4143635,29.66346,2,167053,621111,Essential
8502,w,-82.389843,29.685285,3,167077,541614,Essential*
8503,w,-82.3857525,29.679264,5,167091,621210,Essential
8504,w,-82.433232,29.665197,1,167120,541618,Essential*
8505,w,-82.4081351999999,29.6452274000001,2,167134,561730,Essential*
8506,w,-82.5262515,29.728413,2,167141,541211,Essential
8507,w,-82.412784,29.650869,1,167187,238220,Essential*
8508,w,-82.2979125,29.658897,1,167190,813110,Essential*
8509,w,-82.45134,29.625552,1,167197,711510,Nonessential
8510,w,-82.352862,29.718612,1,167220,423920,Nonessential
8511,w,-82.3828635,29.618046,1,167221,722511,Essential*
8512,w,-82.306071,29.682549,4,167289,561990,Essential*
8513,w,-82.378611,29.628054,5,167420,531110,Essential
8514,w,-82.4472315,29.625183,1,167424,624410,Essential
8515,w,-82.326834,29.651562,4,167434,722511,Essential*
8516,w,-82.167912,29.783205,1,167462,561990,Essential*
8517,w,-82.4109545078176,29.6594880656524,5,167477,812112,Nonessential
8518,w,-82.3892625,29.687562,1,167481,541810,Essential*
8519,w,-82.4115825,29.656296,1,167495,453220,Nonessential
8520,w,-82.3880835,29.675628,1,167502,448310,Nonessential
8521,w,-82.38951,29.656125,1,167523,621111,Essential
8522,w,-82.41084,29.609136,1,167558,813110,Essential*
8523,w,-82.284291,29.793393,1,167585,811490,Essential
8524,w,-82.255392,29.67984,7,167597,999999,NA
8525,w,-82.3258935,29.662137,6,167603,999999,NA
8526,w,-82.45872,29.685528,1,167605,541990,Essential*
8527,w,-82.3424522999999,29.6405544,5,167632,621111,Essential
8528,w,-82.2704715,29.728044,1,167640,561790,Essential*
8529,w,-82.569573,29.848077,1,167641,561499,Essential*
8530,w,-82.34271,29.639799,5,167650,621111,Essential
8531,w,-82.485054,29.673792,9,167724,621111,Essential
8532,w,-82.339272,29.695077,1,167739,711510,Nonessential
8533,w,-82.3347405,29.698173,1,167774,999999,NA
8534,w,-82.4106494343475,29.6594880656524,1,167776,812112,Nonessential
8535,w,-82.3288635,29.652138,76,167795,813910,Essential*
8536,w,-82.6381035,29.788119,3,167798,423850,Essential
8537,w,-82.331703,29.64789,1,167799,621111,Essential
8538,w,-82.3005225,29.648223,2,167813,811420,Nonessential
8539,w,-82.34271,29.639799,4,167835,443142,Essential
8540,w,-82.128321,29.599866,1,167836,561990,Essential*
8541,w,-82.33605,29.650905,2,167858,711510,Nonessential
8542,w,-82.3844115,29.672334,1,167891,999999,NA
8543,w,-82.5408225,29.708838,99,167914,238990,Essential*
8544,w,-82.34271,29.639799,1,167917,621210,Essential
