date,mean,sd,a_shape,b_scale
2020-05-03,6.83329057361254,12.056686254277837,0.32122094707783727,21.272867276481563
2020-05-04,6.882392945325564,12.003448075149016,0.3287508566767784,20.93498102148583
2020-05-05,6.928604135324152,11.943198720237946,0.3365504537361641,20.58711868727942
2020-05-06,6.9701081063982215,11.87450117254769,0.34454684598247787,20.229783519053576
2020-05-07,7.005195855827813,11.796058956284796,0.3526685199468377,19.86339993397709
2020-05-08,7.032322744743998,11.706765198615631,0.36084755982437955,19.488347789206472
2020-05-09,7.050164116324204,11.605747138454195,0.3690219890286958,19.10499733330517
2020-05-10,7.057665712195111,11.492403804220366,0.3771381042385046,18.713743408255024
2020-05-11,7.054085437942724,11.366434768443305,0.3851526614012027,18.315037502998536
2020-05-12,7.039023418378401,11.227858256250798,0.3930347748349858,17.9094163393906
2020-05-13,7.012438004099757,11.077017420247577,0.4007674046314401,17.497525804396798
2020-05-14,6.974646377882087,10.914574257642277,0.4083483327212781,17.08013923162678
2020-05-15,6.926309556636926,10.741491380392723,0.4157905614069009,16.65816927926534
2020-05-16,6.868402760377734,10.559002587841144,0.42312210592144023,16.23267294300376
2020-05-17,6.802173186793838,10.368573863294793,0.43038519013788323,15.80484956885857
2020-05-18,6.7290880679089256,10.17185695734635,0.43763488756647007,15.376032073966861
2020-05-19,6.650776407942369,9.97063808255935,0.44493727468654837,14.947671922132713
2020-05-20,6.568967969376533,9.766784398763106,0.4523671781936532,14.521318711952247
2020-05-21,6.485432897122687,9.56219091187213,0.46000560118299333,14.098595496324702
2020-05-22,6.401924901820482,9.35873016123642,0.4679369064668609,13.68117114368679
2020-05-23,6.320130246986335,9.158206669387718,0.47624582030506474,13.270731159252804
2020-05-24,6.241624000370476,8.962317624545996,0.48501429996966705,12.868948401646774
2020-05-25,6.1678342161701565,8.77262071628202,0.4943182874999676,12.477455057073042
2020-05-26,6.100013996624464,8.590509501961723,0.5042243536488061,12.097817077818387
2020-05-27,6.039220801870699,8.417196191562672,0.5147862241555561,11.731512069456215
2020-05-28,5.986301973361215,8.253701334681953,0.5260411784905026,11.379911341806286
2020-05-29,5.941885222092149,8.100849595921526,0.5380063218861812,11.044266545531771
2020-05-30,5.906372801917349,7.959270619958196,0.5506747567771706,10.725701022658917
2020-05-31,5.879938219469875,7.829403910774185,0.5640117205966724,10.4252057266637
2020-06-01,5.862524595880321,7.711506667551663,0.5779508126424506,10.143639333382463
2020-06-02,5.853844157033389,7.605663614085686,0.5923905008828447,9.881731979681229
