Age,Year,Week,week_end_date,observed,expected,excess
All age,2022,6,2022-02-12,5675,4534.83739435633,1140.16260564367
All age,2022,7,2022-02-19,5418,4505.34902764719,912.650972352808
All age,2022,8,2022-02-26,5016,4519.19383511077,496.806164889233
All age,2022,9,2022-03-05,4774,4536.61540291819,237.384597081808
All age,2022,10,2022-03-12,4806,4595.75601217779,210.243987822215
All age,2022,11,2022-03-19,4567,4570.22456027753,-3.22456027752833
All age,2022,12,2022-03-26,4476,4536.31731560847,-60.3173156084649
All age,2022,13,2022-04-02,4587,4590.15672841664,-3.15672841664309
All age,2022,14,2022-04-09,4291,4504.7038257663,-213.703825766297
All age,2022,15,2022-04-16,4321,4473.94633380466,-152.946333804661
All age,2022,16,2022-04-23,4285,4348.29076584333,-63.2907658433251
All age,2022,17,2022-04-30,4354,4317.14054685436,36.8594531456411
All age,2022,18,2022-05-07,4346,4302.82545603817,43.1745439618298
All age,2022,19,2022-05-14,4303,4296.96377852372,6.03622147627539
All age,2022,20,2022-05-21,4355,4253.93289927364,101.067100726359
