Age,Year,Week,week_end_date,observed,expected,excess
45-64 years,2020,31,2020-08-01,1043,744.571030058391,298.428969941609
45-64 years,2020,32,2020-08-08,994,747.407465608885,246.592534391115
45-64 years,2020,33,2020-08-15,942,747.741163908943,194.258836091057
45-64 years,2020,34,2020-08-22,871,752.246090959728,118.753909040272
45-64 years,2020,35,2020-08-29,889,751.411845209583,137.588154790417
45-64 years,2020,36,2020-09-05,818,753.414035009932,64.5859649900681
45-64 years,2020,37,2020-09-12,831,747.574314758914,83.425685241086
45-64 years,2020,38,2020-09-19,875,759.25375526095,115.74624473905
45-64 years,2020,39,2020-09-26,848,738.898158957402,109.101841042598
45-64 years,2020,40,2020-10-03,815,747.073767308827,67.9262326911731
45-64 years,2020,41,2020-10-10,857,752.079241809699,104.920758190301
45-64 years,2020,42,2020-10-17,808,749.242806259205,58.7571937407951
45-64 years,2020,43,2020-10-24,764,749.242806259205,14.7571937407951
45-64 years,2020,44,2020-10-31,753,747.574314758914,5.42568524108583
45-64 years,2020,45,2020-11-07,772,753.580884159961,18.4191158400389
45-64 years,2020,46,2020-11-14,812,755.916772260368,56.0832277396318
45-64 years,2020,47,2020-11-21,777,752.0792418097,24.9207581903006
45-64 years,2020,48,2020-11-28,812,750.744448609467,61.2555513905333
45-64 years,2020,49,2020-12-05,928,760.922246761241,167.077753238759
45-64 years,2020,50,2020-12-12,889,766.4282687122,122.5717312878
45-64 years,2020,51,2020-12-19,832,757.251565460601,74.7484345393991
45-64 years,2020,52,2020-12-26,874,757.251565460601,116.748434539399
45-64 years,2020,53,2021-01-02,996,757.251565460601,238.748434539399
45-64 years,2021,2,2021-01-16,955,762.257039961473,192.742960038527
45-64 years,2021,3,2021-01-23,888,761.255945061299,126.744054938701
45-64 years,2021,4,2021-01-30,871,762.757587411561,108.24241258844
45-64 years,2021,5,2021-02-06,874,765.760872112084,108.239127887916
45-64 years,2021,6,2021-02-13,950,762.423889111502,187.576110888498
45-64 years,2021,7,2021-02-20,927,758.920056960892,168.079943039108
45-64 years,2021,8,2021-02-27,823,765.093475511968,57.9065244880325
45-64 years,2021,9,2021-03-06,885,758.920056960892,126.079943039108
45-64 years,2021,10,2021-03-13,793,765.927721262113,27.072278737887
45-64 years,2021,11,2021-03-20,839,763.719149393215,75.2808506067852
45-64 years,2021,12,2021-03-27,874,761.046640062134,112.953359937866
45-64 years,2021,13,2021-04-03,781,761.770444672635,19.229555327365
45-64 years,2021,14,2021-04-10,848,762.633442477463,85.3665575225368
45-64 years,2021,15,2021-04-17,814,763.74698803208,50.2530119679198
45-64 years,2021,16,2021-04-24,884,762.522087922002,121.477912077999
45-64 years,2021,17,2021-05-01,802,760.378512729364,41.6214872706364
45-64 years,2021,18,2021-05-08,817,761.325026450788,55.6749735492119
45-64 years,2021,19,2021-05-15,837,761.965315144693,75.0346848553071
45-64 years,2021,20,2021-05-22,849,760.82393095121,88.1760690487896
45-64 years,2021,21,2021-05-29,869,761.408542367384,107.591457632616
45-64 years,2021,22,2021-06-05,826,761.7982833115,64.2017166884997
45-64 years,2021,23,2021-06-12,835,763.357247087964,71.6427529120358
45-64 years,2021,24,2021-06-19,782,761.937476505828,20.0625234941725
45-64 years,2021,25,2021-06-26,816,761.686928756039,54.3130712439614
45-64 years,2021,26,2021-07-03,826,761.714767394904,64.285232605096
45-64 years,2021,27,2021-07-10,858,761.631251478308,96.3687485216923
45-64 years,2021,28,2021-07-17,899,762.243701533347,136.756298466653
45-64 years,2021,29,2021-07-24,922,760.82393095121,161.17606904879
45-64 years,2021,30,2021-07-31,1085,761.157994617596,323.842005382405
45-64 years,2021,31,2021-08-07,1293,759.84957859092,533.15042140908
45-64 years,2021,32,2021-08-14,1459,760.322835451633,698.677164548367
45-64 years,2021,33,2021-08-21,1667,760.378512729364,906.621487270637
45-64 years,2021,34,2021-08-28,1744,761.13015597873,982.86984402127
45-64 years,2021,35,2021-09-04,1747,760.990962784403,986.009037215597
45-64 years,2021,36,2021-09-11,1635,761.325026450788,873.674973549212
45-64 years,2021,37,2021-09-18,1423,760.350674090498,662.649325909502
45-64 years,2021,38,2021-09-25,1262,762.299378811078,499.700621188922
45-64 years,2021,39,2021-10-02,1217,758.903064869496,458.096935130504
45-64 years,2021,40,2021-10-09,1031,760.267158173902,270.732841826098
45-64 years,2021,41,2021-10-16,950,761.102317339865,188.897682660136
45-64 years,2021,42,2021-10-23,850,760.629060479152,89.3709395208478
45-64 years,2021,43,2021-10-30,845,760.629060479152,84.3709395208478
45-64 years,2021,44,2021-11-06,846,760.350674090498,85.6493259095021
45-64 years,2021,45,2021-11-13,883,761.352865089653,121.647134910347
45-64 years,2021,46,2021-11-20,803,761.742606033769,41.2573939662308
45-64 years,2021,47,2021-11-27,782,761.102317339864,20.8976826601356
45-64 years,2021,48,2021-12-04,817,760.879608228941,56.1203917710591
45-64 years,2021,49,2021-12-11,825,762.577765199732,62.422234800268
45-64 years,2021,50,2021-12-18,805,763.496440282291,41.503559717709
45-64 years,2021,51,2021-12-25,842,761.965315144693,80.0346848553074
45-64 years,2021,52,2022-01-01,876,761.965315144693,114.034684855307
45-64 years,2022,1,2022-01-08,892,767.262514462346,124.737485537654
45-64 years,2022,2,2022-01-15,940,762.800474310656,177.199525689345
45-64 years,2022,3,2022-01-22,940,762.633442477463,177.366557522537
45-64 years,2022,4,2022-01-29,1011,762.883990227252,248.116009772748
45-64 years,2022,5,2022-02-05,989,763.385085726829,225.614914273171
45-64 years,2022,6,2022-02-12,969,762.828312949521,206.171687050479
45-64 years,2022,7,2022-02-19,896,762.243701533347,133.756298466653
45-64 years,2022,8,2022-02-26,903,763.273731171368,139.726268828632
45-64 years,2022,9,2022-03-05,823,762.243701533347,60.7562984666531
45-64 years,2022,10,2022-03-12,859,763.412924365695,95.5870756343052
45-64 years,2022,11,2022-03-19,776,763.044426026591,12.9555739734089
45-64 years,2022,12,2022-03-26,765,762.598520116255,2.40147988374463
45-64 years,2022,13,2022-04-02,782,762.719286300305,19.2807136996954
45-64 years,2022,14,2022-04-09,729,762.863276750517,-33.8632767505171
45-64 years,2022,15,2022-04-16,759,763.049070879824,-4.0490708798236
45-64 years,2022,16,2022-04-23,719,762.844697337587,-43.8446973375865
45-64 years,2022,17,2022-04-30,684,762.487043638671,-78.4870436386714
45-64 years,2022,18,2022-05-07,710,762.644968648582,-52.6449686485819
45-64 years,2022,19,2022-05-14,738,762.751800272933,-24.7518002729331
45-64 years,2022,20,2022-05-21,749,762.561361290394,-13.561361290394
65-74 years,2020,11,2020-03-14,858,845.83012895273,12.1698710472696
65-74 years,2020,12,2020-03-21,847,820.552518467244,26.4474815327566
65-74 years,2020,13,2020-03-28,866,851.552429696718,14.4475703032815
65-74 years,2020,14,2020-04-04,913,870.498380593611,42.501619406389
65-74 years,2020,15,2020-04-11,912,837.082091022343,74.9179089776567
65-74 years,2020,16,2020-04-18,846,786.339254223401,59.6607457765992
65-74 years,2020,17,2020-04-25,812,822.079462353556,-10.0794623535564
65-74 years,2020,18,2020-05-02,869,803.588409457346,65.411590542654
65-74 years,2020,19,2020-05-09,831,784.207582351333,46.7924176486667
65-74 years,2020,20,2020-05-16,827,794.388913091287,32.6110869087132
65-74 years,2020,21,2020-05-23,817,751.206066341292,65.7939336587084
65-74 years,2020,22,2020-05-30,784,785.900790174531,-1.90079017453138
65-74 years,2020,23,2020-06-06,797,793.995602472591,3.00439752740931
65-74 years,2020,24,2020-06-13,833,757.911880075681,75.0881199243193
65-74 years,2020,25,2020-06-20,881,769.648539162889,111.351460837111
65-74 years,2020,26,2020-06-27,848,769.522325988722,78.4776740112781
65-74 years,2020,27,2020-07-04,925,783.313085721487,141.686914278513
65-74 years,2020,28,2020-07-11,999,752.220301692362,246.779698307638
65-74 years,2020,29,2020-07-18,1072,746.732581245076,325.267418754925
65-74 years,2020,30,2020-07-25,1113,761.121390658204,351.878609341796
65-74 years,2020,31,2020-08-01,1120,776.452413150606,343.547586849394
65-74 years,2020,32,2020-08-08,1126,725.875256625328,400.124743374672
65-74 years,2020,33,2020-08-15,1082,725.108688463504,356.891311536496
65-74 years,2020,34,2020-08-22,1056,734.829188724624,321.170811275376
65-74 years,2020,35,2020-08-29,957,732.33002468259,224.66997531741
65-74 years,2020,36,2020-09-05,916,746.9528114527,169.0471885473
65-74 years,2020,37,2020-09-12,882,756.096408343974,125.903591656026
65-74 years,2020,38,2020-09-19,840,765.972681609735,74.0273183902655
65-74 years,2020,39,2020-09-26,881,749.725248327908,131.274751672092
65-74 years,2020,40,2020-10-03,818,765.621438286997,52.3785617130029
65-74 years,2020,41,2020-10-10,861,733.218305135622,127.781694864378
65-74 years,2020,42,2020-10-17,825,747.848946802115,77.1510531978847
65-74 years,2020,43,2020-10-24,831,766.413822310074,64.5861776899258
65-74 years,2020,44,2020-10-31,827,738.797042038256,88.2029579617441
65-74 years,2020,45,2020-11-07,799,793.367961384669,5.63203861533123
